trade_id,entry_time,direction,setup,r,node72,node48
2024-02-04 22:00:00+00:00|SHORT|TBX7A|2287.29|9.0,2024-02-04 22:00:00+00:00,SHORT,TBX7A,-1.0,False,False
2024-02-05 07:00:00+00:00|LONG|TBX7A|2309.74|9.0,2024-02-05 07:00:00+00:00,LONG,TBX7A,1.42,False,False
2024-02-05 18:00:00+00:00|SHORT|TBX7A|2300.22|9.0,2024-02-05 18:00:00+00:00,SHORT,TBX7A,-0.97,False,False
2024-02-06 02:00:00+00:00|LONG|TBX7B|2323.77|12.86,2024-02-06 02:00:00+00:00,LONG,TBX7B,-0.97,False,False
2024-02-06 07:30:00+00:00|LONG|TBX7B|2322.121|14.05,2024-02-06 07:30:00+00:00,LONG,TBX7B,-0.1,False,False
2024-02-06 13:15:00+00:00|LONG|TBX7B|2334.188|14.75,2024-02-06 13:15:00+00:00,LONG,TBX7B,2.28,False,False
2024-02-07 10:45:00+00:00|SHORT|TBX0|2361.307|9.72,2024-02-07 10:45:00+00:00,SHORT,TBX0,-1.26,False,False
2024-02-08 10:00:00+00:00|LONG|TBX7B|2426.8694|10.9,2024-02-08 10:00:00+00:00,LONG,TBX7B,-0.26,False,False
2024-02-08 12:00:00+00:00|LONG|TBX7B|2428.5374|8.43,2024-02-08 12:00:00+00:00,LONG,TBX7B,-0.47,False,False
2024-02-08 14:00:00+00:00|LONG|TBX7B|2426.1089|7.24,2024-02-08 14:00:00+00:00,LONG,TBX7B,-0.65,False,False
2024-02-09 02:15:00+00:00|LONG|TBX7B|2434.891|15.62,2024-02-09 02:15:00+00:00,LONG,TBX7B,1.33,True,True
2024-02-09 18:00:00+00:00|LONG|TBX7B|2508.6698|24.58,2024-02-09 18:00:00+00:00,LONG,TBX7B,-0.32,False,False
2024-02-12 02:45:00+00:00|SHORT|TBX0 (a) or TBX1|2494.9411|23.48,2024-02-12 02:45:00+00:00,SHORT,TBX0 (a) or TBX1,-0.04,False,False
2024-02-12 08:45:00+00:00|SHORT|TBX0 (a) or TBX1|2490.6304|11.42,2024-02-12 08:45:00+00:00,SHORT,TBX0 (a) or TBX1,0.01,False,False
2024-02-12 14:00:00+00:00|LONG|TBX7A|2527.03|26.93,2024-02-12 14:00:00+00:00,LONG,TBX7A,2.0,False,False
2024-03-24 08:00:00+00:00|LONG|TBX0 (a)|3352.1902|34.8,2024-03-24 08:00:00+00:00,LONG,TBX0 (a),0.72,False,False
2024-03-27 06:00:00+00:00|SHORT|TBX0 (a) or TBX1|3567.55|75.25,2024-03-27 06:00:00+00:00,SHORT,TBX0 (a) or TBX1,-0.32,False,False
