label,removed_n,removed_sum_r,removed_wr,removed_pf,removed_tail_gt5,removed_tail_r,base_sum_r,keep_sum_r,delta_sum_r,base_wr,keep_wr,delta_wr,base_pf,keep_pf,delta_pf,base_mdd,keep_mdd,delta_mdd,improves_total_r,improves_pf,no_tail_loss,family
taker_imb_1h|low|q0.1,92,182.78000000000003,44.565217391304344,5.135294117647058,11,172.49999999999997,1114.0300000000002,931.25,-182.7800000000002,39.289940828402365,38.645418326693225,-0.6445225017091403,4.181579323147222,4.043798006210165,-0.13778131693705742,-14.680000000000518,-14.819999999999936,-0.13999999999941792,False,False,False,quantile
DEAD_OI<=0.3,114,189.89000000000001,38.59649122807017,4.621781422849513,10,192.88,1114.0300000000002,924.1400000000001,-189.8900000000001,39.289940828402365,39.398084815321475,0.10814398691911009,4.181579323147222,4.104057503694746,-0.0775218194524756,-14.680000000000518,-15.000000000000114,-0.3199999999995953,False,False,False,oi
DEAD_OI<=0.35,156,226.49,37.17948717948718,4.2402002861230335,13,232.37,1114.0300000000002,887.54,-226.49000000000024,39.289940828402365,39.7677793904209,0.47783856201853325,4.181579323147222,4.166958073148974,-0.014621249998247876,-14.680000000000518,-12.820000000000164,1.8600000000003547,False,False,False,oi
vol_comp_4h_72h|low|q0.1,101,230.85000000000005,44.554455445544555,6.084801762114537,9,224.23,1114.0300000000002,883.1800000000001,-230.85000000000014,39.289940828402365,38.575268817204304,-0.7146720111980613,4.181579323147222,3.898047579983593,-0.28353174316362884,-14.680000000000518,-14.680000000000064,4.547473508864641e-13,False,False,False,quantile
range_prev_day|low|q0.1,120,235.64,37.5,5.515906477577616,13,236.80999999999997,1114.0300000000002,878.3900000000001,-235.6400000000001,39.289940828402365,39.58620689655172,0.2962660681493574,4.181579323147222,3.9479142195523047,-0.23366510359491732,-14.680000000000518,-18.530000000000086,-3.849999999999568,False,False,False,quantile
stop_24h|low|q0.05,47,268.0299999999999,36.17021276595745,10.624057450628365,7,276.39000000000004,1114.0300000000002,846.0000000000001,-268.0300000000001,39.289940828402365,39.473684210526315,0.18374338212395003,4.181579323147222,3.6248836487744343,-0.5566956743727878,-14.680000000000518,-14.680000000000064,4.547473508864641e-13,False,False,False,quantile
range_72h|low|q0.1,115,282.8,41.73913043478261,6.434281322059954,16,278.33000000000004,1114.0300000000002,831.23,-282.8000000000002,39.289940828402365,38.9041095890411,-0.3858312393612664,4.181579323147222,3.78833316561001,-0.39324615753721215,-14.680000000000518,-17.920000000000073,-3.2399999999995543,False,False,False,quantile
weekend,98,284.26,44.89795918367347,8.090546270890496,11,268.37,1114.0300000000002,829.77,-284.2600000000002,39.289940828402365,38.55421686746988,-0.7357239609324822,4.181579323147222,3.6761594530090953,-0.5054198701381267,-14.680000000000518,-17.100000000000023,-2.4199999999995043,False,False,False,calendar
vol_comp_4h_72h|low|q0.2,190,306.33,40.526315789473685,4.588262855804146,17,303.09000000000003,1114.0300000000002,807.7,-306.33000000000015,39.289940828402365,38.93129770992366,-0.3586431184787031,4.181579323147222,4.050456983155828,-0.13112233999139367,-14.680000000000518,-16.00999999999999,-1.3299999999994725,False,False,False,quantile
mom_1h|low|q0.25,225,306.73,39.55555555555556,4.071600240336471,18,306.21000000000004,1114.0300000000002,807.3,-306.73000000000025,39.289940828402365,39.19354838709677,-0.09639244130559632,4.181579323147222,4.225458468176916,0.04387914502969359,-14.680000000000518,-11.499999999999986,3.1800000000005326,False,True,False,quantile
vol_vs_7d|low|q0.1,96,307.46000000000004,38.54166666666667,8.107258437355526,7,293.06,1114.0300000000002,806.57,-307.46000000000015,39.289940828402365,39.38584779706275,0.09590696866038684,4.181579323147222,3.628205545961094,-0.553373777186128,-14.680000000000518,-17.850000000000023,-3.1699999999995043,False,False,False,quantile
stop_pct|low|q0.05,61,308.03999999999996,29.508196721311474,9.609278926774733,7,316.56,1114.0300000000002,805.99,-308.0400000000002,39.289940828402365,40.05102040816326,0.7610795797608958,4.181579323147222,3.5638260648280684,-0.6177532583191536,-14.680000000000518,-17.850000000000023,-3.1699999999995043,False,False,False,quantile
stop_atr|low|q0.05,37,340.51,45.94594594594595,19.102604997341842,10,349.41999999999996,1114.0300000000002,773.52,-340.5100000000002,39.289940828402365,38.98514851485149,-0.30479231355087677,4.181579323147222,3.3345204321844633,-0.8470588909627588,-14.680000000000518,-14.470000000000027,0.21000000000049113,False,False,False,quantile
stop_24h|low|q0.1,94,343.51,38.297872340425535,7.323821796759942,15,357.06,1114.0300000000002,770.52,-343.5100000000002,39.289940828402365,39.41411451398136,0.12417368557899522,4.181579323147222,3.604603995537977,-0.5769753276092451,-14.680000000000518,-15.680000000000064,-0.9999999999995453,False,False,False,quantile
taker_imb_1h|low|q0.25,220,367.62,37.72727272727273,4.55463159930381,23,375.34000000000003,1114.0300000000002,746.4100000000001,-367.6200000000001,39.289940828402365,39.839999999999996,0.5500591715976313,4.181579323147222,4.025209743444251,-0.15636957970297072,-14.680000000000518,-12.769999999999982,1.9100000000005366,False,False,False,quantile
stop_atr|low|q0.1,84,403.9700000000001,46.42857142857143,11.04900497512438,17,410.11,1114.0300000000002,710.06,-403.97000000000025,39.289940828402365,38.501971090670175,-0.7879697377321904,4.181579323147222,3.2908856267139863,-0.8906936964332357,-14.680000000000518,-19.579999999999927,-4.899999999999409,False,False,False,quantile
range_72h|low|q0.2,215,492.52,40.93023255813954,6.264778193479423,23,474.15,1114.0300000000002,621.51,-492.5200000000002,39.289940828402365,38.730158730158735,-0.5597820982436303,4.181579323147222,3.4220966484801245,-0.7594826746670975,-14.680000000000518,-15.759999999999991,-1.0799999999994725,False,False,False,quantile
range_prev_day|low|q0.2,248,516.5200000000001,37.096774193548384,5.924866514111364,31,530.63,1114.0300000000002,597.51,-516.5200000000002,39.289940828402365,40.20100502512563,0.9110641967232667,4.181579323147222,3.4361316100623798,-0.7454477130848423,-14.680000000000518,-16.440000000000055,-1.7599999999995362,False,False,False,quantile
stop_pct|low|q0.1,126,563.7599999999999,34.92063492063492,8.993194385367929,23,591.9899999999999,1114.0300000000002,550.27,-563.7600000000002,39.289940828402365,40.055632823365784,0.7656919949634187,4.181579323147222,2.9679207495887274,-1.2136585735584946,-14.680000000000518,-17.68999999999994,-3.0099999999994225,False,False,False,quantile
