trade_id,entry_time,timeframe,arm_r,close_threshold_r,r,action_r,delta_r,tail_gt5
2024-12-15 19:00:00+00:00|LONG|TBX0 (a)|3902.12|8.15,2024-12-15 19:00:00+00:00,1H,1.0,0.0,-0.97,0.0,0.97,False
2024-12-23 15:00:00+00:00|LONG|TBX0 (a) or TBX1|3319.6|62.22,2024-12-23 15:00:00+00:00,1H,1.0,0.0,1.05,-0.07794921247187253,-1.1279492124718726,False
2025-06-16 12:00:00+00:00|SHORT|TBX0|2614.14|6.1,2025-06-16 12:00:00+00:00,1H,1.0,0.0,-1.0,-0.02131147540985396,0.978688524590146,False
2025-12-15 01:00:00+00:00|LONG|TBX7A|3107.41|22.55,2025-12-15 01:00:00+00:00,1H,1.0,0.0,1.18,-0.0039911308203854,-1.1839911308203854,False
2026-02-19 01:00:00+00:00|LONG|TBX0|1965.99|13.16,2026-02-19 01:00:00+00:00,1H,1.0,0.0,0.04,-0.09802431610941972,-0.13802431610941973,False
2026-03-31 12:00:00+00:00|LONG|TBX7B|2046.78|10.0,2026-03-31 12:00:00+00:00,1H,1.0,0.0,0.2,0.0,-0.2,False
2021-02-08 23:15:00+00:00|LONG|TBX0 (a)|1739.4794|35.35,2021-02-08 23:15:00+00:00,15M,1.0,0.25,-0.34,0.14824757974008065,0.4882475797400807,False
2021-07-18 22:15:00+00:00|SHORT|TBX0|1889.4399|24.79,2021-07-18 22:15:00+00:00,15M,1.0,0.25,-0.44,0.11375069591106086,0.5537506959110609,False
2021-12-02 03:00:00+00:00|SHORT|TBX0 (a)|4547.168|71.52,2021-12-02 03:00:00+00:00,15M,1.0,0.25,-0.58,0.12049786318278957,0.7004978631827895,False
2022-06-02 13:00:00+00:00|SHORT|TBX0 (a)|1819.9813|17.69,2022-06-02 13:00:00+00:00,15M,1.0,0.25,-0.47,-0.30349045953183645,0.16650954046816352,False
2022-09-16 12:45:00+00:00|SHORT|TBX7A|1457.9013|19.75,2022-09-16 12:45:00+00:00,15M,1.0,0.25,0.78,0.16563381212267525,-0.6143661878773248,False
2022-12-21 08:30:00+00:00|LONG|TBX7A|1213.1288|4.94,2022-12-21 08:30:00+00:00,15M,1.0,0.25,-0.19,0.22695778530444688,0.4169577853044469,False
2023-01-03 20:15:00+00:00|LONG|TBX7B|1211.5324|4.13,2023-01-03 20:15:00+00:00,15M,1.0,0.25,8.59,0.2463814179795929,-8.343618582020406,True
2023-02-10 10:15:00+00:00|SHORT|TBX0 (a) or TBX1|1542.59|10.62,2023-02-10 10:15:00+00:00,15M,1.0,0.25,0.01,0.1779661016949033,0.16796610169490328,False
2023-02-10 21:00:00+00:00|SHORT|TBX0 (a) or TBX1|1521.2828|13.19,2023-02-10 21:00:00+00:00,15M,1.0,0.25,-0.07,0.03736284159695102,0.10736284159695103,False
2023-02-12 14:30:00+00:00|LONG|TBX4|1530.7452|6.92,2023-02-12 14:30:00+00:00,15M,1.0,0.25,0.35,0.24491992363210963,-0.10508007636789035,False
2023-03-28 11:15:00+00:00|LONG|TBX0|1727.188|13.6,2023-03-28 11:15:00+00:00,15M,1.0,0.25,0.04,0.20823875474852283,0.16823875474852282,False
2023-04-24 14:30:00+00:00|SHORT|TBX7A|1848.0377|19.75,2023-04-24 14:30:00+00:00,15M,1.0,0.25,1.23,0.190769056760312,-1.039230943239688,False
2023-05-03 06:30:00+00:00|LONG|TBX0 (a)|1864.5456|6.19,2023-05-03 06:30:00+00:00,15M,1.0,0.25,-0.25,0.18810592650707056,0.4381059265070706,False
2023-05-14 12:45:00+00:00|LONG|TBX0 (a)|1804.2559|7.52,2023-05-14 12:45:00+00:00,15M,1.0,0.25,0.35,0.061711598169813205,-0.2882884018301868,False
2023-05-18 07:30:00+00:00|LONG|TBX0|1821.9279|7.9,2023-05-18 07:30:00+00:00,15M,1.0,0.25,-0.15,0.22938070405666908,0.37938070405666907,False
2023-06-23 12:15:00+00:00|SHORT|TBX0 (a)|1873.8414|10.29,2023-06-23 12:15:00+00:00,15M,1.0,0.25,-0.59,-0.16507545668219545,0.4249245433178045,False
