n,wins,losses,zeros,wr,sum_r,expectancy,median,avg_win,avg_loss,payoff,pf,max_dd,max_loss_streak,best,worst,tail_gt5,tail_r_gt5,label,med_cf_mfe,med_cf_mfe_noret,pct_cf_ge1,pct_cf_ge2,pct_wick,med_beyond_r,med_bars_to_stop
148,0,148,0,0.0,-127.12,-0.8589189189189189,-0.95,,-0.8589189189189189,,0.0,-126.52000000000004,148,-0.06,-2.33,0,0.0,fate=ambiguous_stop,0.5650501650087537,0.19340909090909209,25.0,16.216216216216218,66.21621621621621,0.13775729273854975,5.0
373,373,0,0,100.0,1183.52,3.172975871313673,1.36,3.172975871313673,,,,0.0,0,82.8,0.01,54,734.81,fate=clean_winner,,,,,0.0,0.0,
164,0,164,0,0.0,-137.19,-0.8365243902439025,-0.95,,-0.8365243902439025,,0.0,-136.21999999999997,164,-0.14,-2.0,0,0.0,fate=hopeless,0.49033191997662257,0.6173857868020316,38.41463414634146,25.609756097560975,12.195121951219512,0.6948963011582708,2.0
319,0,316,3,0.0,-133.48,-0.4184326018808777,-0.39,,-0.42240506329113914,,0.0,-132.76999999999998,153,0.0,-0.92,0,0.0,fate=not_applicable,,,,,0.0,0.0,
95,0,95,0,0.0,-81.95,-0.8626315789473684,-0.95,,-0.8626315789473684,,0.0,-81.03,95,-0.02,-1.82,0,0.0,fate=stop_hunt,2.643333333333329,1.0199097585035388,100.0,65.26315789473685,84.21052631578947,0.09929577982526316,6.0
79,79,0,0,100.0,629.2800000000001,7.965569620253166,2.96,7.965569620253166,,,,0.0,0,96.52,0.04,29,546.27,fate=winner_survived_stop_touch,5.514588176632599,4.775797457646503,96.20253164556962,89.87341772151899,50.63291139240506,0.5,0.0
88,0,88,0,0.0,-76.19,-0.8657954545454545,-0.95,,-0.8657954545454545,,0.0,-75.98,88,-0.06,-2.33,0,0.0,fate=ambiguous_stop|15M,0.4932122667353124,0.25185635882333884,18.181818181818183,11.363636363636363,65.9090909090909,0.11129581566557178,4.0
60,0,60,0,0.0,-50.93000000000001,-0.8488333333333334,-0.95,,-0.8488333333333334,,0.0,-50.33000000000001,60,-0.2,-1.21,0,0.0,fate=ambiguous_stop|1H,0.7096530920060565,0.19340909090909209,35.0,23.333333333333332,66.66666666666666,0.2668086883876234,7.0
240,240,0,0,100.0,777.65,3.2402083333333334,1.34,3.2402083333333334,,,,0.0,0,82.8,0.01,36,488.13,fate=clean_winner|15M,,,,,0.0,0.0,
133,133,0,0,100.0,405.87000000000006,3.0516541353383464,1.44,3.0516541353383464,,,,0.0,0,39.02,0.02,18,246.68,fate=clean_winner|1H,,,,,0.0,0.0,
83,0,83,0,0.0,-64.92999999999999,-0.7822891566265059,-0.78,,-0.7822891566265059,,0.0,-64.69000000000001,83,-0.14,-2.0,0,0.0,fate=hopeless|15M,0.11800515053633762,1.0831605818962586,25.301204819277107,19.27710843373494,14.457831325301203,0.6530428932992758,3.0
81,0,81,0,0.0,-72.26,-0.8920987654320989,-0.95,,-0.8920987654320989,,0.0,-71.29000000000002,81,-0.18,-1.25,0,0.0,fate=hopeless|1H,1.137052341597811,0.5788888888888929,51.85185185185185,32.098765432098766,9.876543209876543,0.7837552742616358,0.0
243,0,240,3,0.0,-102.00999999999999,-0.41979423868312754,-0.39,,-0.4250416666666667,,0.0,-101.3,110,0.0,-0.92,0,0.0,fate=not_applicable|15M,,,,,0.0,0.0,
76,0,76,0,0.0,-31.470000000000002,-0.4140789473684211,-0.4,,-0.4140789473684211,,0.0,-30.73000000000001,76,-0.02,-0.92,0,0.0,fate=not_applicable|1H,,,,,0.0,0.0,
38,0,38,0,0.0,-33.33,-0.8771052631578947,-0.935,,-0.8771052631578947,,0.0,-32.41,38,-0.26,-1.82,0,0.0,fate=stop_hunt|15M,2.8090167794596033,0.8884022163792037,100.0,68.42105263157895,86.8421052631579,0.07480906852800695,4.0
57,0,57,0,0.0,-48.62,-0.8529824561403508,-0.95,,-0.8529824561403508,,0.0,-47.46000000000001,57,-0.02,-1.2,0,0.0,fate=stop_hunt|1H,2.567343749999999,1.2383424810758756,100.0,63.1578947368421,82.45614035087719,0.18333333333334334,7.0
